target_context_score,target_organism_score,phage_origin_score,docking_support_score,solubility_no_chaperone_score,E6_5_solubility_aggregation_chaperone_score,curated_no_external_chaperone_required_strength,curated_soluble_expression_strength,global_engineering_residual_score
0.425000,0.750000,0.100000,0.618844,0.515546,0.859243,0.000000,0.000000,0.772328
0.550000,1.000000,0.100000,0.240787,0.546552,0.910920,0.000000,0.000000,0.774876
0.525000,0.400000,0.650000,0.372088,0.477814,0.796357,0.000000,0.000000,0.764267
0.525000,0.400000,0.650000,0.307032,0.566827,0.944712,0.000000,0.000000,0.665568
0.525000,0.400000,0.650000,0.411690,0.436184,0.726973,0.000000,0.000000,0.766166
0.525000,0.400000,0.650000,0.298974,0.544531,0.907552,0.000000,0.000000,0.780745
0.525000,0.400000,0.650000,0.267228,0.571789,0.952982,0.000000,0.000000,0.783025
0.425000,0.750000,0.100000,0.536686,0.561526,0.935876,0.000000,0.000000,0.829822
0.425000,0.750000,0.100000,0.608371,0.492715,0.821192,0.000000,0.000000,0.807787
0.425000,0.750000,0.100000,0.521251,0.571277,0.952128,0.000000,0.000000,0.838292
0.425000,0.750000,0.100000,0.507304,0.583769,0.972948,0.000000,0.000000,0.836169
0.425000,0.750000,0.100000,0.505187,0.583244,0.972074,0.000000,0.000000,0.835671
0.425000,0.750000,0.100000,0.587744,0.503155,0.838592,0.000000,0.000000,0.820647
0.425000,0.750000,0.100000,0.562707,0.528968,0.881614,0.000000,0.000000,0.750034
0.425000,0.750000,0.100000,0.584998,0.492715,0.821192,0.000000,0.000000,0.803891
0.425000,0.750000,0.100000,0.484012,0.586765,0.977941,0.000000,0.000000,0.831322
0.425000,0.750000,0.100000,0.505863,0.573109,0.955182,0.000000,0.000000,0.787298
0.525000,0.400000,0.650000,0.373355,0.436184,0.726973,0.000000,0.000000,0.759777
0.425000,0.750000,0.100000,0.522597,0.546552,0.910920,0.000000,0.000000,0.813511
0.425000,0.750000,0.100000,0.537965,0.540935,0.901558,0.000000,0.000000,0.757568
0.525000,0.400000,0.650000,0.295636,0.520800,0.868000,0.000000,0.000000,0.698433
0.525000,0.400000,0.650000,0.253478,0.567242,0.945403,0.000000,0.000000,0.679634
0.425000,0.750000,0.100000,0.547189,0.543035,0.905058,0.000000,0.000000,0.700456
0.425000,0.750000,0.100000,0.495644,0.557328,0.928880,0.000000,0.000000,0.823613
0.425000,0.750000,0.100000,0.480432,0.576541,0.960901,0.000000,0.000000,0.791611
0.425000,0.750000,0.100000,0.519302,0.528873,0.881455,0.000000,0.000000,0.804456
0.425000,0.750000,0.100000,0.535666,0.546710,0.911184,0.000000,0.000000,0.665570
0.425000,0.750000,0.100000,0.515064,0.525000,0.875000,0.000000,0.000000,0.817870
0.525000,0.400000,0.650000,0.326045,0.453192,0.755320,0.000000,0.000000,0.759884
0.525000,0.400000,0.650000,0.234047,0.569711,0.949519,0.000000,0.000000,0.654205
0.425000,0.750000,0.100000,0.470190,0.575983,0.959971,0.000000,0.000000,0.770550
0.425000,0.750000,0.100000,0.480143,0.555586,0.925977,0.000000,0.000000,0.803879
0.425000,0.750000,0.100000,0.512094,0.547675,0.912791,0.000000,0.000000,0.706925
0.425000,0.750000,0.100000,0.492928,0.556960,0.928267,0.000000,0.000000,0.746180
0.425000,0.750000,0.100000,0.508433,0.548347,0.913911,0.000000,0.000000,0.713610
0.425000,0.750000,0.100000,0.508678,0.538889,0.898149,0.000000,0.000000,0.728916
0.425000,0.750000,0.100000,0.500877,0.534868,0.891447,0.000000,0.000000,0.769636
0.425000,0.750000,0.100000,0.513903,0.514789,0.857982,0.000000,0.000000,0.796376
